Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,INSDC_center_alias,create_date,version,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External_Id,Submitter_Id,common_name,Collection_Date,Strain,Isolation_source,specific_host,anonymized_name,COUNTRY,host_status,sub_species,supplier_name,ArrayExpress-SPECIES,Subject_ID,Scientific_Name,Collection_month,Collection_year,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),host_health_state,Isolate,PMID,Region,Tax_ID,Alias,ENA_checklist,SRA_accession,Title,Serovar,selection_source
ERR2759457,WGS,GCA_000069185.1,250,251634750,PRJEB2779,SAMEA104138844,50601431,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772450,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:37Z,public,Illumina HiSeq 2500,DN490108Q:C2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138844,9ca66a90-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138844,9ca66a90-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759458,WGS,GCA_000069185.1,250,258298250,PRJEB2779,SAMEA104138845,51946732,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772451,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:38Z,public,Illumina HiSeq 2500,DN490108Q:D2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138845,9cb44d40-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138845,9cb44d40-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759459,WGS,GCA_000069185.1,250,266193000,PRJEB2779,SAMEA104138846,53206250,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772452,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:38Z,public,Illumina HiSeq 2500,DN490108Q:E2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138846,9cc711f0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138846,9cc711f0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759460,WGS,GCA_000069185.1,250,267732250,PRJEB2779,SAMEA104138847,56243558,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772453,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:39Z,public,Illumina HiSeq 2500,DN490108Q:F2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138847,9cd25c90-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138847,9cd25c90-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759461,WGS,GCA_000069185.1,250,275615250,PRJEB2779,SAMEA104138848,53862745,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772454,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:39Z,public,Illumina HiSeq 2500,DN490108Q:G2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138848,9cdda730-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138848,9cdda730-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759462,WGS,GCA_000069185.1,250,270225500,PRJEB2779,SAMEA104138849,52374658,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2018-08-28,2018-11-16,ERX2772455,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:40Z,public,Illumina HiSeq 2500,DN490108Q:H2,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138849,9ce7b950-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138849,9ce7b950-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759463,WGS,GCA_000069185.1,250,274823750,PRJEB2779,SAMEA104138850,63122916,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772456,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:40Z,public,Illumina HiSeq 2500,DN490108Q:A3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138850,9cefcfa0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138850,9cefcfa0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759464,WGS,GCA_000069185.1,250,278473500,PRJEB2779,SAMEA104138851,56258548,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772457,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:41Z,public,Illumina HiSeq 2500,DN490108Q:B3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138851,9cf7e5f0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138851,9cf7e5f0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759465,WGS,GCA_000069185.1,250,264169250,PRJEB2779,SAMEA104138852,60716579,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2018-08-28,2018-11-16,ERX2772458,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:41Z,public,Illumina HiSeq 2500,DN490108Q:C3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138852,9d002350-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138852,9d002350-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759466,WGS,GCA_000069185.1,250,261117000,PRJEB2779,SAMEA104138853,59202843,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772459,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:42Z,public,Illumina HiSeq 2500,DN490108Q:D3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138853,9d094b10-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138853,9d094b10-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759467,WGS,GCA_000069185.1,250,267849250,PRJEB2779,SAMEA104138854,56299586,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772460,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:43Z,public,Illumina HiSeq 2500,DN490108Q:E3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138854,9d116160-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:35:00Z,1,2018-08-28,2017-06-23,SAMEA104138854,9d116160-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759468,WGS,GCA_000069185.1,250,235236250,PRJEB2779,SAMEA104138855,45357910,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772461,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:43Z,public,Illumina HiSeq 2500,DN490108Q:F3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138855,9d1977b0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138855,9d1977b0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759469,WGS,GCA_000069185.1,250,237260500,PRJEB2779,SAMEA104138856,45710812,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2018-08-28,2018-11-16,ERX2772462,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:44Z,public,Illumina HiSeq 2500,DN490108Q:G3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138856,9d22c680-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138856,9d22c680-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759470,WGS,GCA_000069185.1,250,262310250,PRJEB2779,SAMEA104138857,49885368,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2018-08-28,2018-11-16,ERX2772463,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:44Z,public,Illumina HiSeq 2500,DN490108Q:H3,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138857,9d2adcd0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138857,9d2adcd0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759471,WGS,GCA_000069185.1,250,227332500,PRJEB2779,SAMEA104138858,44276341,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2018-08-28,2018-11-16,ERX2772464,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:45Z,public,Illumina HiSeq 2500,DN490108Q:A4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138858,9d331a30-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138858,9d331a30-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759472,WGS,GCA_000069185.1,250,248106750,PRJEB2779,SAMEA104138859,47517689,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2018-08-28,2018-11-16,ERX2772465,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:45Z,public,Illumina HiSeq 2500,DN490108Q:B4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138859,9d3b3080-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138859,9d3b3080-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759473,WGS,GCA_000069185.1,250,226650250,PRJEB2779,SAMEA104138860,43851222,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772466,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:46Z,public,Illumina HiSeq 2500,DN490108Q:C4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138860,9d436de0-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138860,9d436de0-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759474,WGS,GCA_000069185.1,250,229396250,PRJEB2779,SAMEA104138861,44843988,WELLCOME SANGER INSTITUTE,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2018-08-28,2018-11-16,ERX2772467,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:46Z,public,Illumina HiSeq 2500,DN490108Q:D4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138861,9d4b8430-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138861,9d4b8430-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759475,WGS,GCA_000069185.1,250,257226750,PRJEB2779,SAMEA104138862,48456511,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772468,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:47Z,public,Illumina HiSeq 2500,DN490108Q:E4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138862,9d59b500-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138862,9d59b500-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
ERR2759476,WGS,GCA_000069185.1,250,245606250,PRJEB2779,SAMEA104138863,47645457,WELLCOME SANGER INSTITUTE,public,"run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2018-08-28,2018-11-16,ERX2772469,Wellcome Sanger Institute,2018-08-28T17:03:10Z,2017-06-23T10:08:47Z,public,Illumina HiSeq 2500,DN490108Q:F4,PAIRED,RANDOM,GENOMIC,Mycobacteroides abscessus,ILLUMINA,2018-08-29T00:00:00Z,SAMEA104138863,9d61f260-24d7-11e7-b93e-3c4a9275d6c8,ERP001039,SC,2018-08-29T10:36:00Z,1,2018-08-28,2017-06-23,SAMEA104138863,9d61f260-24d7-11e7-b93e-3c4a9275d6c8,Mycobacterium abscessus,,,,,,,,,,Mycobacterium abscessus,,,,,,,,,,,,,,,,,,
